Dimension,Stratum,Model,Interactions,Learners,Negative Outcomes,Positive Outcomes,Decision Threshold,AUC,PR AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Brier Score,Log Loss,False Positive Rate,False Negative Rate,AUC 95% CI Lower,AUC 95% CI Upper,Completed Bootstrap Replicates,Overall Common-Subset AUC,AUC Change from Overall,Adequate Sample,Potential Failure Mode,Failure Assessment
Available History Stratum,Established history (51-100 prior),DKT,25713,903,9532,16181,0.5888236165046692,0.6564388915749377,0.7506128914692034,0.6332983315832458,0.6042515612890818,0.7053777831853023,0.7165811754526914,0.7109353444311598,0.21630986607978686,0.6222259381922596,0.5080780528745279,0.28341882454730855,0.6470446139640246,0.666316380863206,200,0.6803375580920749,-0.023898666517137124,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Established history (51-100 prior),Causal SAKT,25713,903,9532,16181,0.5834112763404846,0.6498354334436836,0.7444601200110735,0.6429043674405942,0.6003738933642585,0.697121613248465,0.7648476608367839,0.7294159250309424,0.21736368756382293,0.6246594403794969,0.5640998741082669,0.23515233916321612,0.6390913101574762,0.6594580655282567,200,0.6762490851625665,-0.02641365171888299,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Experienced history (101-500 prior),BKT,58504,816,21207,37297,0.6714042137375336,0.5975987541044543,0.7116288094218883,0.520425953780938,0.5649080087906976,0.721752903907075,0.40316915569616857,0.5173487467960297,0.22491061135984677,0.6414180932399899,0.2733531381147734,0.5968308443038314,0.5908721423229194,0.6038744465253237,200,0.639742445102954,-0.04214369099849968,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Experienced history (101-500 prior),DKT,58504,816,21207,37297,0.5888236165046692,0.6363927320548164,0.7392238736786616,0.6351531519212361,0.5920201451183194,0.6998596772576927,0.7488537952114112,0.7235282688945016,0.21820618827205443,0.6267870392554636,0.5648135049747725,0.2511462047885889,0.6287907490487952,0.6434416159763132,200,0.6803375580920749,-0.043944826037258466,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Experienced history (101-500 prior),Causal SAKT,58504,816,21207,37297,0.5834112763404846,0.6298384239691853,0.7330270402665905,0.6435628333105429,0.5815994041570975,0.6879486124445664,0.8069013593586616,0.7426921510802907,0.21963968586623267,0.6300531035315089,0.6437025510444665,0.19309864064133844,0.622475540223616,0.6386627023791654,200,0.6762490851625665,-0.04641066119338122,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Extensive history (501+ prior),BKT,40591,443,13823,26768,0.6714042137375336,0.6202947883083709,0.748886419240005,0.6023010026853244,0.5860047984554446,0.7262274837116212,0.637104004781829,0.6787526616385744,0.21631491235551442,0.6228184753690199,0.46509440787093975,0.36289599521817095,0.6103091079681534,0.6295678711317563,200,0.639742445102954,-0.019447656794583046,True,False,NO PRACTICAL AUC DROP
Available History Stratum,Extensive history (501+ prior),DKT,40591,443,13823,26768,0.5888236165046692,0.6349407261989911,0.7622234608732676,0.6444039319060876,0.5801607665377823,0.7089800067773636,0.7816049013747759,0.7435232239951669,0.21323609064286358,0.6155048020858928,0.6212833682992115,0.21839509862522416,0.6256582265895793,0.6466615509839204,200,0.6803375580920749,-0.045396831893083744,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Extensive history (501+ prior),Causal SAKT,40591,443,13823,26768,0.5834112763404846,0.6311456609930373,0.7592815592265953,0.6548003251952403,0.5709355712489891,0.7000125439036629,0.8339061566049014,0.7611156573922532,0.21369145918249075,0.6166584775828347,0.6920350141069233,0.1660938433950986,0.6198876358930658,0.6418175469987839,200,0.6762490851625665,-0.04510342416952928,True,True,POTENTIAL FAILURE MODE
Skill Frequency Group,Common skill (top 75%),BKT,206602,4000,85534,121068,0.6714042137375336,0.6397166528486411,0.6984862924333852,0.5537700506287451,0.5852291716914216,0.7106507149110008,0.4023193577163247,0.5137757900510527,0.22917616757102996,0.6501581209647798,0.2318610143334814,0.5976806422836753,0.6363269062879606,0.6441154878529995,200,0.639742445102954,-2.579225431287302e-05,True,False,NO PRACTICAL AUC DROP
Skill Frequency Group,Common skill (top 75%),DKT,206602,4000,85534,121068,0.5888236165046692,0.6808170334872705,0.7326245334362996,0.6335224247587148,0.628265966838752,0.6986152592994841,0.6588280966068656,0.6781385897866443,0.21789806243653326,0.6256497632539654,0.40229616292936143,0.3411719033931344,0.6766439398370515,0.6841525567440564,200,0.6803375580920749,0.00047947539519566096,True,False,NO PRACTICAL AUC DROP
Skill Frequency Group,Common skill (top 75%),Causal SAKT,206602,4000,85534,121068,0.5834112763404846,0.6767299146303212,0.7287959992014845,0.6381545193173348,0.626082882957264,0.6893573870234376,0.6962698648693296,0.6927963838093282,0.21886139922049883,0.6277511203175369,0.4441040989548016,0.3037301351306704,0.672493470820197,0.6806884550281403,200,0.6762490851625665,0.00048082946775462876,True,False,NO PRACTICAL AUC DROP
Skill Frequency Group,Rare skill (bottom 25%),BKT,12612,2931,4953,7659,0.6714042137375336,0.6390680043538653,0.7201662608424892,0.5602600697748177,0.5984954221859391,0.7442774566473989,0.42028985507246375,0.5372162883845126,0.22407290462565085,0.6389721052657511,0.2232990107005855,0.5797101449275363,0.6302395787651482,0.6474591514913126,200,0.639742445102954,-0.0006744407490886228,True,False,NO PRACTICAL AUC DROP
Skill Frequency Group,Rare skill (bottom 25%),DKT,12612,2931,4953,7659,0.5888236165046692,0.6711252241892434,0.7541107365975659,0.6281319378369806,0.6228840960097379,0.7136893623146682,0.6473429951690821,0.6788990825688074,0.21805938456957114,0.6248835343794831,0.4015748031496063,0.3526570048309179,0.6625595615304162,0.6823899347792034,200,0.6803375580920749,-0.009212333902831493,True,False,NO PRACTICAL AUC DROP
Skill Frequency Group,Rare skill (bottom 25%),Causal SAKT,12612,2931,4953,7659,0.5834112763404846,0.6668120204580321,0.749989436780642,0.6320171265461465,0.6149194120779194,0.6979795329309892,0.6946076511293903,0.6962895098488319,0.21893830902097308,0.6269504515157202,0.4647688269735514,0.30539234887060973,0.6557693586246944,0.6791174553153825,200,0.6762490851625665,-0.009437064704534426,True,False,NO PRACTICAL AUC DROP
